 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.31606227e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-08  6.28318530e-08  1.00000000e-08 -6.28318530e-08  1.00000000e-08  2.31606242e+00  1.00000000e-08  0.00000000e+00 
 2.00000000e-08  1.25663706e-07  2.00000000e-08 -1.25663706e-07  2.00000000e-08  2.31606020e+00  2.00000000e-08  0.00000000e+00 
 4.00000000e-08  2.51327410e-07  4.00000000e-08 -2.51327410e-07  4.00000000e-08  2.31605360e+00  4.00000000e-08  0.00000000e+00 
 8.00000000e-08  5.02654803e-07  8.00000000e-08 -5.02654803e-07  8.00000000e-08  2.31603382e+00  8.00000000e-08  0.00000000e+00 
 1.60000000e-07  1.00530948e-06  1.60000000e-07 -1.00530948e-06  1.60000000e-07  2.31598624e+00  1.60000000e-07  0.00000000e+00 
 3.20000000e-07  2.01061794e-06  3.20000000e-07 -2.01061794e-06  3.20000000e-07  2.31588662e+00  3.20000000e-07  0.00000000e+00 
 6.40000000e-07  4.02122776e-06  6.40000000e-07 -4.02122776e-06  6.40000000e-07  2.31568799e+00  6.40000000e-07  0.00000000e+00 
 1.28000000e-06  8.04239049e-06  1.28000000e-06 -8.04239049e-06  1.28000000e-06  2.31529057e+00  1.28000000e-06  0.00000000e+00 
 2.28000000e-06  1.43251725e-05  2.28000000e-06 -1.43251725e-05  2.28000000e-06  2.31466993e+00  2.28000000e-06  0.00000000e+00 
 3.28000000e-06  2.06073890e-05  3.28000000e-06 -2.06073890e-05  3.28000000e-06  2.31404915e+00  3.28000000e-06  0.00000000e+00 
 4.28000000e-06  2.68887919e-05  4.28000000e-06 -2.68887919e-05  4.28000000e-06  2.31342865e+00  4.28000000e-06  0.00000000e+00 
 5.28000000e-06  3.31691333e-05  5.28000000e-06 -3.31691333e-05  5.28000000e-06  2.31280809e+00  5.28000000e-06  0.00000000e+00 
 6.28000000e-06  3.94481653e-05  6.28000000e-06 -3.94481653e-05  6.28000000e-06  2.31218784e+00  6.28000000e-06  0.00000000e+00 
