 0.00000000e+00  2.50000000e+00  0.00000000e+00  2.50000000e+00  0.00000000e+00  2.27388360e+00  0.00000000e+00  2.50000000e+00 
 1.00000000e-08  2.50000006e+00  1.00000000e-08  2.49999994e+00  1.00000000e-08  2.27388238e+00  1.00000000e-08  2.50000000e+00 
 2.00000000e-08  2.50000013e+00  2.00000000e-08  2.49999987e+00  2.00000000e-08  2.27388016e+00  2.00000000e-08  2.50000000e+00 
 4.00000000e-08  2.50000025e+00  4.00000000e-08  2.49999975e+00  4.00000000e-08  2.27387415e+00  4.00000000e-08  2.50000000e+00 
 8.00000000e-08  2.50000050e+00  8.00000000e-08  2.49999950e+00  8.00000000e-08  2.27385672e+00  8.00000000e-08  2.50000000e+00 
 1.60000000e-07  2.50000101e+00  1.60000000e-07  2.49999899e+00  1.60000000e-07  2.27381616e+00  1.60000000e-07  2.50000000e+00 
 3.20000000e-07  2.50000201e+00  3.20000000e-07  2.49999799e+00  3.20000000e-07  2.27373334e+00  3.20000000e-07  2.50000000e+00 
 6.40000000e-07  2.50000402e+00  6.40000000e-07  2.49999598e+00  6.40000000e-07  2.27356818e+00  6.40000000e-07  2.50000000e+00 
 1.28000000e-06  2.50000804e+00  1.28000000e-06  2.49999196e+00  1.28000000e-06  2.27323778e+00  1.28000000e-06  2.50000000e+00 
 2.28000000e-06  2.50001433e+00  2.28000000e-06  2.49998567e+00  2.28000000e-06  2.27272167e+00  2.28000000e-06  2.50000000e+00 
 3.28000000e-06  2.50002061e+00  3.28000000e-06  2.49997939e+00  3.28000000e-06  2.27220555e+00  3.28000000e-06  2.50000000e+00 
 4.28000000e-06  2.50002689e+00  4.28000000e-06  2.49997311e+00  4.28000000e-06  2.27168959e+00  4.28000000e-06  2.50000000e+00 
 5.28000000e-06  2.50003317e+00  5.28000000e-06  2.49996683e+00  5.28000000e-06  2.27117366e+00  5.28000000e-06  2.50000000e+00 
 6.28000000e-06  2.50003945e+00  6.28000000e-06  2.49996055e+00  6.28000000e-06  2.27065792e+00  6.28000000e-06  2.50000000e+00 
 7.28000000e-06  2.50004573e+00  7.28000000e-06  2.49995427e+00  7.28000000e-06  2.27014227e+00  7.28000000e-06  2.50000000e+00 
 8.28000000e-06  2.50005200e+00  8.28000000e-06  2.49994800e+00  8.28000000e-06  2.26962684e+00  8.28000000e-06  2.50000000e+00 
 9.28000000e-06  2.50005827e+00  9.28000000e-06  2.49994173e+00  9.28000000e-06  2.26911155e+00  9.28000000e-06  2.50000000e+00 
 1.02800000e-05  2.50006455e+00  1.02800000e-05  2.49993545e+00  1.02800000e-05  2.26859650e+00  1.02800000e-05  2.50000000e+00 
 1.12800000e-05  2.50007082e+00  1.12800000e-05  2.49992918e+00  1.12800000e-05  2.26808165e+00  1.12800000e-05  2.50000000e+00 
 1.22800000e-05  2.50007708e+00  1.22800000e-05  2.49992292e+00  1.22800000e-05  2.26756708e+00  1.22800000e-05  2.50000000e+00 
 1.32800000e-05  2.50008334e+00  1.32800000e-05  2.49991666e+00  1.32800000e-05  2.26705275e+00  1.32800000e-05  2.50000000e+00 
 1.42800000e-05  2.50008960e+00  1.42800000e-05  2.49991040e+00  1.42800000e-05  2.26653873e+00  1.42800000e-05  2.50000000e+00 
 1.52800000e-05  2.50009586e+00  1.52800000e-05  2.49990414e+00  1.52800000e-05  2.26602499e+00  1.52800000e-05  2.50000000e+00 
 1.62800000e-05  2.50010211e+00  1.62800000e-05  2.49989789e+00  1.62800000e-05  2.26551161e+00  1.62800000e-05  2.50000000e+00 
 1.72800000e-05  2.50010836e+00  1.72800000e-05  2.49989164e+00  1.72800000e-05  2.26499855e+00  1.72800000e-05  2.50000000e+00 
 1.82800000e-05  2.50011460e+00  1.82800000e-05  2.49988540e+00  1.82800000e-05  2.26448588e+00  1.82800000e-05  2.50000000e+00 
 1.92800000e-05  2.50012084e+00  1.92800000e-05  2.49987916e+00  1.92800000e-05  2.26397359e+00  1.92800000e-05  2.50000000e+00 
 2.02800000e-05  2.50012708e+00  2.02800000e-05  2.49987292e+00  2.02800000e-05  2.26346172e+00  2.02800000e-05  2.50000000e+00 
 2.12800000e-05  2.50013331e+00  2.12800000e-05  2.49986669e+00  2.12800000e-05  2.26295027e+00  2.12800000e-05  2.50000000e+00 
 2.22800000e-05  2.50013953e+00  2.22800000e-05  2.49986047e+00  2.22800000e-05  2.26243927e+00  2.22800000e-05  2.50000000e+00 
 2.32800000e-05  2.50014575e+00  2.32800000e-05  2.49985425e+00  2.32800000e-05  2.26192874e+00  2.32800000e-05  2.50000000e+00 
 2.42800000e-05  2.50015196e+00  2.42800000e-05  2.49984804e+00  2.42800000e-05  2.26141871e+00  2.42800000e-05  2.50000000e+00 
 2.52800000e-05  2.50015817e+00  2.52800000e-05  2.49984183e+00  2.52800000e-05  2.26090918e+00  2.52800000e-05  2.50000000e+00 
 2.62800000e-05  2.50016437e+00  2.62800000e-05  2.49983563e+00  2.62800000e-05  2.26040018e+00  2.62800000e-05  2.50000000e+00 
 2.72800000e-05  2.50017057e+00  2.72800000e-05  2.49982943e+00  2.72800000e-05  2.25989173e+00  2.72800000e-05  2.50000000e+00 
 2.82800000e-05  2.50017675e+00  2.82800000e-05  2.49982325e+00  2.82800000e-05  2.25938385e+00  2.82800000e-05  2.50000000e+00 
 2.92800000e-05  2.50018294e+00  2.92800000e-05  2.49981706e+00  2.92800000e-05  2.25887657e+00  2.92800000e-05  2.50000000e+00 
